"Time (UTCG)","Power (W)","Solar Intensity"
28 Sep 2019 07:08:17.000,0.000,0.000000
28 Sep 2019 07:08:18.000,0.000,0.000000
28 Sep 2019 07:08:19.000,0.000,0.000000
28 Sep 2019 07:08:20.000,0.000,0.000000
28 Sep 2019 07:08:21.000,0.000,0.000000
28 Sep 2019 07:08:22.000,0.000,0.000000
28 Sep 2019 07:08:23.000,0.000,0.000000
28 Sep 2019 07:08:24.000,0.000,0.000000
28 Sep 2019 07:08:25.000,0.000,0.000000
28 Sep 2019 07:08:26.000,0.000,0.000000
28 Sep 2019 07:08:27.000,0.000,0.000000
28 Sep 2019 07:08:28.000,0.000,0.000000
28 Sep 2019 07:08:29.000,0.000,0.000000
28 Sep 2019 07:08:30.000,0.000,0.000000
28 Sep 2019 07:08:31.000,0.000,0.000000
28 Sep 2019 07:08:32.000,0.000,0.000000
28 Sep 2019 07:08:33.000,0.000,0.000000
28 Sep 2019 07:08:34.000,0.000,0.000000
28 Sep 2019 07:08:35.000,0.000,0.000000
28 Sep 2019 07:08:36.000,0.000,0.000000
28 Sep 2019 07:08:37.000,0.000,0.000000
28 Sep 2019 07:08:38.000,0.000,0.000000
28 Sep 2019 07:08:39.000,0.000,0.000000
28 Sep 2019 07:08:40.000,0.000,0.000000
28 Sep 2019 07:08:41.000,0.000,0.000000
28 Sep 2019 07:08:42.000,0.000,0.000000
28 Sep 2019 07:08:43.000,0.000,0.000000
28 Sep 2019 07:08:44.000,0.000,0.000000
28 Sep 2019 07:08:45.000,0.000,0.000000
28 Sep 2019 07:08:46.000,0.000,0.000000
28 Sep 2019 07:08:47.000,0.000,0.000000
28 Sep 2019 07:08:48.000,0.000,0.000000
28 Sep 2019 07:08:49.000,0.000,0.000000
28 Sep 2019 07:08:50.000,0.000,0.000000
28 Sep 2019 07:08:51.000,0.000,0.000000
